person_ID,position_type,start_date,end_date,display_order
1,Professor,,,1
2,Professor,,,2
3,Professor,,,3
4,Professor,,,4
5,Professor,,,5
6,Professor,,,6
7,Researcher,,,1
8,Researcher,,,2
9,Researcher,,,3
10,Researcher,,,4
11,Researcher,,,5
12,Graduate Student,,,1
13,Graduate Student,,,2
14,Graduate Student,,,3
15,Graduate Student,,,4
16,Graduate Student,,,5
17,Alumni,,,1
18,Alumni,,,2
19,Alumni,,,3
20,Alumni,,,4
21,Alumni,,,5
22,Alumni,,,6
23,Alumni,,,7
24,Alumni,,,8
25,Alumni,,,9
26,Alumni,,,10
27,Alumni,,,11
28,Alumni,,,12
29,Alumni,,,13
30,Alumni,,,14
31,Alumni,,,15
32,Alumni,,,16
33,Alumni,,,17
34,Alumni,,,18
35,Alumni,,,19
36,Alumni,,,20
37,Alumni,,,21
38,Alumni,,,22
39,Alumni,,,23
40,Alumni,,,24
